국가명,국가코드,기준연도,gdp성장률
Spain,ESP,2019,1.983966
Spain,ESP,2020,-11.325438
Spain,ESP,2021,5.519595
Spain,ESP,2022,5.45174
Switzerland,CHE,1981,1.601336
Switzerland,CHE,1982,-1.309417
Switzerland,CHE,1983,0.639079
Switzerland,CHE,1984,3.008456
Switzerland,CHE,1985,3.673596
Switzerland,CHE,1986,1.858633
Switzerland,CHE,1987,1.585478
Switzerland,CHE,1988,3.277596
Switzerland,CHE,1989,4.330794
Switzerland,CHE,1990,3.674626
Switzerland,CHE,1991,-0.915817
Switzerland,CHE,1992,-0.043733
Switzerland,CHE,1993,-0.125984
Switzerland,CHE,1994,1.269758
Switzerland,CHE,1995,0.480866
Switzerland,CHE,1996,0.47128
Switzerland,CHE,1997,2.261325
Switzerland,CHE,1998,3.029969
Switzerland,CHE,1999,1.662701
Switzerland,CHE,2000,3.95872
Switzerland,CHE,2001,1.575662
Switzerland,CHE,2002,-0.073217
Switzerland,CHE,2003,-0.032398
Switzerland,CHE,2004,2.701709
Switzerland,CHE,2005,2.749699
Switzerland,CHE,2006,4.073628
Switzerland,CHE,2007,3.916376
Switzerland,CHE,2008,2.807984
Switzerland,CHE,2009,-2.297375
Switzerland,CHE,2010,3.243397
Switzerland,CHE,2011,1.813108
Switzerland,CHE,2012,1.179254
Switzerland,CHE,2013,1.792144
Switzerland,CHE,2014,2.349881
Switzerland,CHE,2015,1.644628
Switzerland,CHE,2016,2.06869
Switzerland,CHE,2017,1.3628
Switzerland,CHE,2018,2.860446
Switzerland,CHE,2019,1.141982
Switzerland,CHE,2020,-2.375563
Switzerland,CHE,2021,4.221717
Switzerland,CHE,2022,2.059233
United Kingdom,GBR,1951,3.713086
United Kingdom,GBR,1952,1.517087
United Kingdom,GBR,1953,5.566213
United Kingdom,GBR,1954,4.359141
United Kingdom,GBR,1955,3.907273
United Kingdom,GBR,1956,1.6956
United Kingdom,GBR,1957,1.987986
United Kingdom,GBR,1958,1.356184
United Kingdom,GBR,1959,4.168058
United Kingdom,GBR,1960,6.34951
United Kingdom,GBR,1961,2.701314
United Kingdom,GBR,1962,1.098696
United Kingdom,GBR,1963,4.859545
United Kingdom,GBR,1964,5.594811
United Kingdom,GBR,1965,2.130333
United Kingdom,GBR,1966,1.56745
United Kingdom,GBR,1967,2.775738
United Kingdom,GBR,1968,5.472693
United Kingdom,GBR,1969,1.939138
United Kingdom,GBR,1970,2.708581
United Kingdom,GBR,1971,3.504717
United Kingdom,GBR,1972,4.321668
United Kingdom,GBR,1973,6.523848
United Kingdom,GBR,1974,-2.484404
United Kingdom,GBR,1975,-1.47365
United Kingdom,GBR,1976,2.910266
United Kingdom,GBR,1977,2.45775
United Kingdom,GBR,1978,4.204261
United Kingdom,GBR,1979,3.749017
United Kingdom,GBR,1980,-2.031368
United Kingdom,GBR,1981,-0.787744
United Kingdom,GBR,1982,1.994891
United Kingdom,GBR,1983,4.221856
United Kingdom,GBR,1984,2.269105
United Kingdom,GBR,1985,4.147415
United Kingdom,GBR,1986,3.150341
United Kingdom,GBR,1987,5.392738
United Kingdom,GBR,1988,5.732414
United Kingdom,GBR,1989,2.577603
United Kingdom,GBR,1990,0.733755
United Kingdom,GBR,1991,-1.103122
United Kingdom,GBR,1992,0.401082
United Kingdom,GBR,1993,2.489831
United Kingdom,GBR,1994,3.846009
United Kingdom,GBR,1995,2.53167
United Kingdom,GBR,1996,1.907716
United Kingdom,GBR,1997,4.524067
United Kingdom,GBR,1998,3.157287
United Kingdom,GBR,1999,3.01407
United Kingdom,GBR,2000,4.092653
United Kingdom,GBR,2001,2.157428
United Kingdom,GBR,2002,1.770765
United Kingdom,GBR,2003,3.123053
United Kingdom,GBR,2004,2.344971
United Kingdom,GBR,2005,2.668338
United Kingdom,GBR,2006,2.160405
United Kingdom,GBR,2007,2.563461
United Kingdom,GBR,2008,-0.154344
United Kingdom,GBR,2009,-4.510486
United Kingdom,GBR,2010,2.430073
United Kingdom,GBR,2011,1.067611
United Kingdom,GBR,2012,1.448457
United Kingdom,GBR,2013,1.819863
