국가명,국가코드,기준연도,gdp
Denmark,DNK,2005,1585984.17
Denmark,DNK,2006,1682260.207
Denmark,DNK,2007,1738845.296
Denmark,DNK,2008,1801469.912
Denmark,DNK,2009,1722142.505
Denmark,DNK,2010,1810925.601
Denmark,DNK,2011,1846853.613
Denmark,DNK,2012,1895002.254
Denmark,DNK,2013,1929677.034
Denmark,DNK,2014,1981164.991
Denmark,DNK,2015,2036356.221
Denmark,DNK,2016,2107808.218
Denmark,DNK,2017,2192960.002
Denmark,DNK,2018,2253316.249
Denmark,DNK,2019,2310954.835
Denmark,DNK,2020,2323919.331
Denmark,DNK,2021,2504177.717
Denmark,DNK,2022,2797938.09
Denmark,DNK,1967,5.53037
Denmark,DNK,1968,5.553077
Denmark,DNK,1969,6.509248
Denmark,DNK,1970,1.596842
Denmark,DNK,1971,3.004996
Denmark,DNK,1972,3.929385
Denmark,DNK,1973,4.092946
Denmark,DNK,1974,-1.122394
Denmark,DNK,1975,-1.456645
Denmark,DNK,1976,5.924606
Denmark,DNK,1977,1.870291
Denmark,DNK,1978,2.226309
Denmark,DNK,1979,3.869112
Denmark,DNK,1980,-0.482986
Denmark,DNK,1981,-0.666124
Denmark,DNK,1982,3.684573
Denmark,DNK,1983,2.596072
Denmark,DNK,1984,4.166138
Denmark,DNK,1985,4.003752
Denmark,DNK,1986,4.904178
Denmark,DNK,1987,0.254266
Denmark,DNK,1988,-0.013601
Denmark,DNK,1989,0.645187
Denmark,DNK,1990,1.475244
Denmark,DNK,1991,1.393634
Denmark,DNK,1992,1.957007
Denmark,DNK,1993,0.010688
Denmark,DNK,1994,5.332463
Denmark,DNK,1995,3.027587
Denmark,DNK,1996,2.9001
Denmark,DNK,1997,3.26089
Denmark,DNK,1998,2.218159
Denmark,DNK,1999,2.948022
Denmark,DNK,2000,3.746863
Denmark,DNK,2001,0.823153
Denmark,DNK,2002,0.466346
Denmark,DNK,2003,0.390059
Denmark,DNK,2004,2.668219
Denmark,DNK,2005,2.336641
Denmark,DNK,2006,3.913008
Denmark,DNK,2007,0.909239
Denmark,DNK,2008,-0.512017
Denmark,DNK,2009,-4.906548
Denmark,DNK,2010,1.870991
Denmark,DNK,2011,1.336778
Denmark,DNK,2012,0.2265
Denmark,DNK,2013,0.933341
Denmark,DNK,2014,1.619394
Denmark,DNK,2015,2.342591
Denmark,DNK,2016,3.245957
Denmark,DNK,2017,2.821736
Denmark,DNK,2018,1.989537
Denmark,DNK,2019,1.493487
Denmark,DNK,2020,-1.994608
Denmark,DNK,2021,4.855708
Denmark,DNK,2022,3.819018
Finland,FIN,1970,8022.95
Finland,FIN,1971,8816.788
Finland,FIN,1972,10281.898
Finland,FIN,1973,12514.888
Finland,FIN,1974,15771.547
Finland,FIN,1975,18234.712
Finland,FIN,1976,20698.999
Finland,FIN,1977,22702.814
Finland,FIN,1978,25107.391
Finland,FIN,1979,29129.189
Finland,FIN,1980,33657.0
Finland,FIN,1981,38067.0
Finland,FIN,1982,42803.0
Finland,FIN,1983,47752.0
Finland,FIN,1984,53460.0
Finland,FIN,1985,58245.0
Finland,FIN,1986,62693.0
Finland,FIN,1987,67716.0
Finland,FIN,1988,76723.0
Finland,FIN,1989,85891.0
Finland,FIN,1990,90959.0
Finland,FIN,1991,86899.0
Finland,FIN,1992,84782.0
Finland,FIN,1993,85708.0
Finland,FIN,1994,90749.0
Finland,FIN,1995,98549.0
Finland,FIN,1996,102083.0
Finland,FIN,1997,110807.0
Finland,FIN,1998,120474.0
Finland,FIN,1999,126916.0
Finland,FIN,2000,136442.0
Finland,FIN,2001,144628.0
Finland,FIN,2002,148486.0
Finland,FIN,2003,151749.0
Finland,FIN,2004,158758.0
Finland,FIN,2005,164687.0
Finland,FIN,2006,172897.0
Finland,FIN,2007,187072.0
Finland,FIN,2008,194265.0
Finland,FIN,2009,181747.0
Finland,FIN,2010,188143.0
Finland,FIN,2011,197998.0
Finland,FIN,2012,201037.0
Finland,FIN,2013,204321.0
Finland,FIN,2014,206897.0
Finland,FIN,2015,211385.0
Finland,FIN,2016,217518.0
Finland,FIN,2017,226301.0
Finland,FIN,2018,233462.0
